2026-02-08 15:16:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:16:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:16:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:16:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:16:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:16:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:17:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:17:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:17:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:17:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:17:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:17:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:17:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:17:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:18:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:18:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:18:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:18:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:18:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:18:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:18:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:18:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:19:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:19:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:19:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:19:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:19:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:19:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:19:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:19:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:20:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:20:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:20:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:20:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:20:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:20:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:20:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:20:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:21:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:21:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:21:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:21:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:21:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:21:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:21:05 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:21:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:22:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:22:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:22:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:22:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:22:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:22:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:22:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:22:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:23:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:23:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:23:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:23:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:23:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:23:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:23:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:23:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:23:29 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:23:29 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:23:29 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:23:29 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:23:29 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:23:29 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:23:29 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
